[2024-04-01 22:00:00] [CRIT] [TOR] Tor Browser launched — anonymous circuit established via 3 relay nodes | host=ALEX-PC | user=alex_r | pid=2000
[2024-04-01 23:52:00] [WARN] [CRYPT] VeraCrypt container mounted at E:\hidden_volume | host=ALEX-PC | user=alex_r | pid=2052
[2024-04-01 23:53:00] [CRIT] [NET] Connection to .onion domain: darknetlive.com via Tor exit node | host=ALEX-PC | user=alex_r | pid=2053
[2024-04-01 23:54:00] [WARN] [EMAIL] ProtonMail session to buyer123@tutanota.com — XMR payment received | host=ALEX-PC | user=alex_r | pid=2054
[2024-04-01 23:55:00] [CRIT] [FILE] File deleted: transaction_history_xmr.csv from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2055
[2024-04-01 23:56:00] [CRIT] [FILE] File deleted: vendor_contacts_darkweb.txt from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2056
[2024-04-01 23:57:00] [WARN] [PROC] Process started: electrum.exe — Monero wallet opened | host=ALEX-PC | user=alex_r | pid=2057
[2024-04-01 23:58:00] [INFO] [AUTH] User alex_r logged in from ALEX-PC at 22:50:00 | host=ALEX-PC | user=alex_r | pid=2058
[2024-04-01 23:59:00] [CRIT] [USB] USB device mounted: Kingston DataTraveler 32GB [0018F3A92B11] on E: | host=ALEX-PC | user=alex_r | pid=2059
[2024-04-01 23:00:00] [CRIT] [TOR] Tor Browser launched — anonymous circuit established via 3 relay nodes | host=ALEX-PC | user=alex_r | pid=2060
[2024-04-01 23:01:00] [CRIT] [CRYPTO] Monero wallet activity: Electrum transaction signed — XMR 2.5 sent | host=ALEX-PC | user=alex_r | pid=2061
[2024-04-01 23:02:00] [WARN] [CRYPT] VeraCrypt container mounted at E:\hidden_volume | host=ALEX-PC | user=alex_r | pid=2062
[2024-04-01 23:03:00] [CRIT] [NET] Connection to .onion domain: darknetlive.com via Tor exit node | host=ALEX-PC | user=alex_r | pid=2063
[2024-04-01 23:04:00] [WARN] [EMAIL] ProtonMail session to buyer123@tutanota.com — XMR payment received | host=ALEX-PC | user=alex_r | pid=2064
[2024-04-01 23:05:00] [CRIT] [FILE] File deleted: transaction_history_xmr.csv from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2065
[2024-04-01 23:06:00] [CRIT] [FILE] File deleted: vendor_contacts_darkweb.txt from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2066
[2024-04-01 23:07:00] [WARN] [PROC] Process started: electrum.exe — Monero wallet opened | host=ALEX-PC | user=alex_r | pid=2067
[2024-04-01 23:08:00] [INFO] [AUTH] User alex_r logged in from ALEX-PC at 22:50:00 | host=ALEX-PC | user=alex_r | pid=2068
[2024-04-01 23:09:00] [CRIT] [USB] USB device mounted: Kingston DataTraveler 32GB [0018F3A92B11] on E: | host=ALEX-PC | user=alex_r | pid=2069
[2024-04-01 23:10:00] [CRIT] [TOR] Tor Browser launched — anonymous circuit established via 3 relay nodes | host=ALEX-PC | user=alex_r | pid=2070
[2024-04-01 23:11:00] [CRIT] [CRYPTO] Monero wallet activity: Electrum transaction signed — XMR 2.5 sent | host=ALEX-PC | user=alex_r | pid=2071
[2024-04-01 23:12:00] [WARN] [CRYPT] VeraCrypt container mounted at E:\hidden_volume | host=ALEX-PC | user=alex_r | pid=2072
[2024-04-01 23:13:00] [CRIT] [NET] Connection to .onion domain: darknetlive.com via Tor exit node | host=ALEX-PC | user=alex_r | pid=2073
[2024-04-01 23:14:00] [WARN] [EMAIL] ProtonMail session to buyer123@tutanota.com — XMR payment received | host=ALEX-PC | user=alex_r | pid=2074
[2024-04-01 23:15:00] [CRIT] [FILE] File deleted: transaction_history_xmr.csv from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2075
[2024-04-01 23:16:00] [CRIT] [FILE] File deleted: vendor_contacts_darkweb.txt from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2076
[2024-04-01 23:17:00] [WARN] [PROC] Process started: electrum.exe — Monero wallet opened | host=ALEX-PC | user=alex_r | pid=2077
[2024-04-01 23:18:00] [INFO] [AUTH] User alex_r logged in from ALEX-PC at 22:50:00 | host=ALEX-PC | user=alex_r | pid=2078
[2024-04-01 23:19:00] [CRIT] [USB] USB device mounted: Kingston DataTraveler 32GB [0018F3A92B11] on E: | host=ALEX-PC | user=alex_r | pid=2079
[2024-04-02 00:20:00] [CRIT] [TOR] Tor Browser launched — anonymous circuit established via 3 relay nodes | host=ALEX-PC | user=alex_r | pid=2080
[2024-04-02 00:21:00] [CRIT] [CRYPTO] Monero wallet activity: Electrum transaction signed — XMR 2.5 sent | host=ALEX-PC | user=alex_r | pid=2081
[2024-04-02 00:22:00] [WARN] [CRYPT] VeraCrypt container mounted at E:\hidden_volume | host=ALEX-PC | user=alex_r | pid=2082
[2024-04-02 00:23:00] [CRIT] [NET] Connection to .onion domain: darknetlive.com via Tor exit node | host=ALEX-PC | user=alex_r | pid=2083
[2024-04-02 00:24:00] [WARN] [EMAIL] ProtonMail session to buyer123@tutanota.com — XMR payment received | host=ALEX-PC | user=alex_r | pid=2084
[2024-04-02 00:25:00] [CRIT] [FILE] File deleted: transaction_history_xmr.csv from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2085
[2024-04-02 00:26:00] [CRIT] [FILE] File deleted: vendor_contacts_darkweb.txt from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2086
[2024-04-02 00:27:00] [WARN] [PROC] Process started: electrum.exe — Monero wallet opened | host=ALEX-PC | user=alex_r | pid=2087
[2024-04-02 00:28:00] [INFO] [AUTH] User alex_r logged in from ALEX-PC at 22:50:00 | host=ALEX-PC | user=alex_r | pid=2088
[2024-04-02 00:29:00] [CRIT] [USB] USB device mounted: Kingston DataTraveler 32GB [0018F3A92B11] on E: | host=ALEX-PC | user=alex_r | pid=2089
[2024-04-02 00:30:00] [CRIT] [TOR] Tor Browser launched — anonymous circuit established via 3 relay nodes | host=ALEX-PC | user=alex_r | pid=2090
[2024-04-02 00:31:00] [CRIT] [CRYPTO] Monero wallet activity: Electrum transaction signed — XMR 2.5 sent | host=ALEX-PC | user=alex_r | pid=2091
[2024-04-02 00:32:00] [WARN] [CRYPT] VeraCrypt container mounted at E:\hidden_volume | host=ALEX-PC | user=alex_r | pid=2092
[2024-04-02 00:33:00] [CRIT] [NET] Connection to .onion domain: darknetlive.com via Tor exit node | host=ALEX-PC | user=alex_r | pid=2093
[2024-04-02 00:34:00] [WARN] [EMAIL] ProtonMail session to buyer123@tutanota.com — XMR payment received | host=ALEX-PC | user=alex_r | pid=2094
[2024-04-02 00:35:00] [CRIT] [FILE] File deleted: transaction_history_xmr.csv from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2095
[2024-04-02 00:36:00] [CRIT] [FILE] File deleted: vendor_contacts_darkweb.txt from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2096
[2024-04-02 00:37:00] [WARN] [PROC] Process started: electrum.exe — Monero wallet opened | host=ALEX-PC | user=alex_r | pid=2097
[2024-04-02 00:38:00] [INFO] [AUTH] User alex_r logged in from ALEX-PC at 22:50:00 | host=ALEX-PC | user=alex_r | pid=2098
[2024-04-02 00:39:00] [CRIT] [USB] USB device mounted: Kingston DataTraveler 32GB [0018F3A92B11] on E: | host=ALEX-PC | user=alex_r | pid=2099
[2024-04-02 00:40:00] [CRIT] [TOR] Tor Browser launched — anonymous circuit established via 3 relay nodes | host=ALEX-PC | user=alex_r | pid=2100
[2024-04-02 00:41:00] [CRIT] [CRYPTO] Monero wallet activity: Electrum transaction signed — XMR 2.5 sent | host=ALEX-PC | user=alex_r | pid=2101
[2024-04-02 00:42:00] [WARN] [CRYPT] VeraCrypt container mounted at E:\hidden_volume | host=ALEX-PC | user=alex_r | pid=2102
[2024-04-02 00:43:00] [CRIT] [NET] Connection to .onion domain: darknetlive.com via Tor exit node | host=ALEX-PC | user=alex_r | pid=2103
[2024-04-02 00:44:00] [WARN] [EMAIL] ProtonMail session to buyer123@tutanota.com — XMR payment received | host=ALEX-PC | user=alex_r | pid=2104
[2024-04-02 00:45:00] [CRIT] [FILE] File deleted: transaction_history_xmr.csv from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2105
[2024-04-02 00:46:00] [CRIT] [FILE] File deleted: vendor_contacts_darkweb.txt from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2106
[2024-04-02 00:47:00] [WARN] [PROC] Process started: electrum.exe — Monero wallet opened | host=ALEX-PC | user=alex_r | pid=2107
[2024-04-02 00:48:00] [INFO] [AUTH] User alex_r logged in from ALEX-PC at 22:50:00 | host=ALEX-PC | user=alex_r | pid=2108
[2024-04-02 00:49:00] [CRIT] [USB] USB device mounted: Kingston DataTraveler 32GB [0018F3A92B11] on E: | host=ALEX-PC | user=alex_r | pid=2109
[2024-04-02 00:50:00] [CRIT] [TOR] Tor Browser launched — anonymous circuit established via 3 relay nodes | host=ALEX-PC | user=alex_r | pid=2110
[2024-04-02 00:51:00] [CRIT] [CRYPTO] Monero wallet activity: Electrum transaction signed — XMR 2.5 sent | host=ALEX-PC | user=alex_r | pid=2111
[2024-04-02 00:52:00] [WARN] [CRYPT] VeraCrypt container mounted at E:\hidden_volume | host=ALEX-PC | user=alex_r | pid=2112
[2024-04-02 00:53:00] [CRIT] [NET] Connection to .onion domain: darknetlive.com via Tor exit node | host=ALEX-PC | user=alex_r | pid=2113
[2024-04-02 00:54:00] [WARN] [EMAIL] ProtonMail session to buyer123@tutanota.com — XMR payment received | host=ALEX-PC | user=alex_r | pid=2114
[2024-04-02 00:55:00] [CRIT] [FILE] File deleted: transaction_history_xmr.csv from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2115
[2024-04-02 00:56:00] [CRIT] [FILE] File deleted: vendor_contacts_darkweb.txt from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2116
[2024-04-02 00:57:00] [WARN] [PROC] Process started: electrum.exe — Monero wallet opened | host=ALEX-PC | user=alex_r | pid=2117
[2024-04-02 00:58:00] [INFO] [AUTH] User alex_r logged in from ALEX-PC at 22:50:00 | host=ALEX-PC | user=alex_r | pid=2118
[2024-04-02 00:59:00] [CRIT] [USB] USB device mounted: Kingston DataTraveler 32GB [0018F3A92B11] on E: | host=ALEX-PC | user=alex_r | pid=2119
[2024-04-02 01:00:00] [CRIT] [TOR] Tor Browser launched — anonymous circuit established via 3 relay nodes | host=ALEX-PC | user=alex_r | pid=2120
[2024-04-02 01:01:00] [CRIT] [CRYPTO] Monero wallet activity: Electrum transaction signed — XMR 2.5 sent | host=ALEX-PC | user=alex_r | pid=2121
[2024-04-02 01:02:00] [WARN] [CRYPT] VeraCrypt container mounted at E:\hidden_volume | host=ALEX-PC | user=alex_r | pid=2122
[2024-04-02 01:03:00] [CRIT] [NET] Connection to .onion domain: darknetlive.com via Tor exit node | host=ALEX-PC | user=alex_r | pid=2123
[2024-04-02 01:04:00] [WARN] [EMAIL] ProtonMail session to buyer123@tutanota.com — XMR payment received | host=ALEX-PC | user=alex_r | pid=2124
[2024-04-02 01:05:00] [CRIT] [FILE] File deleted: transaction_history_xmr.csv from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2125
[2024-04-02 01:06:00] [CRIT] [FILE] File deleted: vendor_contacts_darkweb.txt from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2126
[2024-04-02 01:07:00] [WARN] [PROC] Process started: electrum.exe — Monero wallet opened | host=ALEX-PC | user=alex_r | pid=2127
[2024-04-02 01:08:00] [INFO] [AUTH] User alex_r logged in from ALEX-PC at 22:50:00 | host=ALEX-PC | user=alex_r | pid=2128
[2024-04-02 01:09:00] [CRIT] [USB] USB device mounted: Kingston DataTraveler 32GB [0018F3A92B11] on E: | host=ALEX-PC | user=alex_r | pid=2129
[2024-04-02 01:10:00] [CRIT] [TOR] Tor Browser launched — anonymous circuit established via 3 relay nodes | host=ALEX-PC | user=alex_r | pid=2130
[2024-04-02 01:11:00] [CRIT] [CRYPTO] Monero wallet activity: Electrum transaction signed — XMR 2.5 sent | host=ALEX-PC | user=alex_r | pid=2131
[2024-04-02 01:12:00] [WARN] [CRYPT] VeraCrypt container mounted at E:\hidden_volume | host=ALEX-PC | user=alex_r | pid=2132
[2024-04-02 01:13:00] [CRIT] [NET] Connection to .onion domain: darknetlive.com via Tor exit node | host=ALEX-PC | user=alex_r | pid=2133
[2024-04-02 01:14:00] [WARN] [EMAIL] ProtonMail session to buyer123@tutanota.com — XMR payment received | host=ALEX-PC | user=alex_r | pid=2134
[2024-04-02 01:15:00] [CRIT] [FILE] File deleted: transaction_history_xmr.csv from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2135
[2024-04-02 01:16:00] [CRIT] [FILE] File deleted: vendor_contacts_darkweb.txt from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2136
[2024-04-02 01:17:00] [WARN] [PROC] Process started: electrum.exe — Monero wallet opened | host=ALEX-PC | user=alex_r | pid=2137
[2024-04-02 01:18:00] [INFO] [AUTH] User alex_r logged in from ALEX-PC at 22:50:00 | host=ALEX-PC | user=alex_r | pid=2138
[2024-04-02 01:19:00] [CRIT] [USB] USB device mounted: Kingston DataTraveler 32GB [0018F3A92B11] on E: | host=ALEX-PC | user=alex_r | pid=2139
[2024-04-02 01:20:00] [CRIT] [TOR] Tor Browser launched — anonymous circuit established via 3 relay nodes | host=ALEX-PC | user=alex_r | pid=2140
[2024-04-02 01:21:00] [CRIT] [CRYPTO] Monero wallet activity: Electrum transaction signed — XMR 2.5 sent | host=ALEX-PC | user=alex_r | pid=2141
[2024-04-02 01:22:00] [WARN] [CRYPT] VeraCrypt container mounted at E:\hidden_volume | host=ALEX-PC | user=alex_r | pid=2142
[2024-04-02 01:23:00] [CRIT] [NET] Connection to .onion domain: darknetlive.com via Tor exit node | host=ALEX-PC | user=alex_r | pid=2143
[2024-04-02 01:24:00] [WARN] [EMAIL] ProtonMail session to buyer123@tutanota.com — XMR payment received | host=ALEX-PC | user=alex_r | pid=2144
[2024-04-02 01:25:00] [CRIT] [FILE] File deleted: transaction_history_xmr.csv from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2145
[2024-04-02 01:26:00] [CRIT] [FILE] File deleted: vendor_contacts_darkweb.txt from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2146
[2024-04-02 01:27:00] [WARN] [PROC] Process started: electrum.exe — Monero wallet opened | host=ALEX-PC | user=alex_r | pid=2147
[2024-04-02 01:28:00] [INFO] [AUTH] User alex_r logged in from ALEX-PC at 22:50:00 | host=ALEX-PC | user=alex_r | pid=2148
[2024-04-02 01:29:00] [CRIT] [USB] USB device mounted: Kingston DataTraveler 32GB [0018F3A92B11] on E: | host=ALEX-PC | user=alex_r | pid=2149
[2024-04-02 01:30:00] [CRIT] [TOR] Tor Browser launched — anonymous circuit established via 3 relay nodes | host=ALEX-PC | user=alex_r | pid=2150
[2024-04-02 01:31:00] [CRIT] [CRYPTO] Monero wallet activity: Electrum transaction signed — XMR 2.5 sent | host=ALEX-PC | user=alex_r | pid=2151
[2024-04-02 01:32:00] [WARN] [CRYPT] VeraCrypt container mounted at E:\hidden_volume | host=ALEX-PC | user=alex_r | pid=2152
[2024-04-02 01:33:00] [CRIT] [NET] Connection to .onion domain: darknetlive.com via Tor exit node | host=ALEX-PC | user=alex_r | pid=2153
[2024-04-02 01:34:00] [WARN] [EMAIL] ProtonMail session to buyer123@tutanota.com — XMR payment received | host=ALEX-PC | user=alex_r | pid=2154
[2024-04-02 01:35:00] [CRIT] [FILE] File deleted: transaction_history_xmr.csv from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2155
[2024-04-02 01:36:00] [CRIT] [FILE] File deleted: vendor_contacts_darkweb.txt from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2156
[2024-04-02 01:37:00] [WARN] [PROC] Process started: electrum.exe — Monero wallet opened | host=ALEX-PC | user=alex_r | pid=2157
[2024-04-02 01:38:00] [INFO] [AUTH] User alex_r logged in from ALEX-PC at 22:50:00 | host=ALEX-PC | user=alex_r | pid=2158
[2024-04-02 01:39:00] [CRIT] [USB] USB device mounted: Kingston DataTraveler 32GB [0018F3A92B11] on E: | host=ALEX-PC | user=alex_r | pid=2159
[2024-04-02 02:40:00] [CRIT] [TOR] Tor Browser launched — anonymous circuit established via 3 relay nodes | host=ALEX-PC | user=alex_r | pid=2160
[2024-04-02 02:41:00] [CRIT] [CRYPTO] Monero wallet activity: Electrum transaction signed — XMR 2.5 sent | host=ALEX-PC | user=alex_r | pid=2161
[2024-04-02 02:42:00] [WARN] [CRYPT] VeraCrypt container mounted at E:\hidden_volume | host=ALEX-PC | user=alex_r | pid=2162
[2024-04-02 02:43:00] [CRIT] [NET] Connection to .onion domain: darknetlive.com via Tor exit node | host=ALEX-PC | user=alex_r | pid=2163
[2024-04-02 02:44:00] [WARN] [EMAIL] ProtonMail session to buyer123@tutanota.com — XMR payment received | host=ALEX-PC | user=alex_r | pid=2164
[2024-04-02 02:45:00] [CRIT] [FILE] File deleted: transaction_history_xmr.csv from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2165
[2024-04-02 02:46:00] [CRIT] [FILE] File deleted: vendor_contacts_darkweb.txt from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2166
[2024-04-02 02:47:00] [WARN] [PROC] Process started: electrum.exe — Monero wallet opened | host=ALEX-PC | user=alex_r | pid=2167
[2024-04-02 02:48:00] [INFO] [AUTH] User alex_r logged in from ALEX-PC at 22:50:00 | host=ALEX-PC | user=alex_r | pid=2168
[2024-04-02 02:49:00] [CRIT] [USB] USB device mounted: Kingston DataTraveler 32GB [0018F3A92B11] on E: | host=ALEX-PC | user=alex_r | pid=2169
[2024-04-02 02:50:00] [CRIT] [TOR] Tor Browser launched — anonymous circuit established via 3 relay nodes | host=ALEX-PC | user=alex_r | pid=2170
[2024-04-02 02:51:00] [CRIT] [CRYPTO] Monero wallet activity: Electrum transaction signed — XMR 2.5 sent | host=ALEX-PC | user=alex_r | pid=2171
[2024-04-02 02:52:00] [WARN] [CRYPT] VeraCrypt container mounted at E:\hidden_volume | host=ALEX-PC | user=alex_r | pid=2172
[2024-04-02 02:53:00] [CRIT] [NET] Connection to .onion domain: darknetlive.com via Tor exit node | host=ALEX-PC | user=alex_r | pid=2173
[2024-04-02 02:54:00] [WARN] [EMAIL] ProtonMail session to buyer123@tutanota.com — XMR payment received | host=ALEX-PC | user=alex_r | pid=2174
[2024-04-02 02:55:00] [CRIT] [FILE] File deleted: transaction_history_xmr.csv from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2175
[2024-04-02 02:56:00] [CRIT] [FILE] File deleted: vendor_contacts_darkweb.txt from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2176
[2024-04-02 02:57:00] [WARN] [PROC] Process started: electrum.exe — Monero wallet opened | host=ALEX-PC | user=alex_r | pid=2177
[2024-04-02 02:58:00] [INFO] [AUTH] User alex_r logged in from ALEX-PC at 22:50:00 | host=ALEX-PC | user=alex_r | pid=2178
[2024-04-02 02:59:00] [CRIT] [USB] USB device mounted: Kingston DataTraveler 32GB [0018F3A92B11] on E: | host=ALEX-PC | user=alex_r | pid=2179
[2024-04-02 02:00:00] [CRIT] [TOR] Tor Browser launched — anonymous circuit established via 3 relay nodes | host=ALEX-PC | user=alex_r | pid=2180
[2024-04-02 02:01:00] [CRIT] [CRYPTO] Monero wallet activity: Electrum transaction signed — XMR 2.5 sent | host=ALEX-PC | user=alex_r | pid=2181
[2024-04-02 02:02:00] [WARN] [CRYPT] VeraCrypt container mounted at E:\hidden_volume | host=ALEX-PC | user=alex_r | pid=2182
[2024-04-02 02:03:00] [CRIT] [NET] Connection to .onion domain: darknetlive.com via Tor exit node | host=ALEX-PC | user=alex_r | pid=2183
[2024-04-02 02:04:00] [WARN] [EMAIL] ProtonMail session to buyer123@tutanota.com — XMR payment received | host=ALEX-PC | user=alex_r | pid=2184
[2024-04-02 02:05:00] [CRIT] [FILE] File deleted: transaction_history_xmr.csv from Recycle Bin | host=ALEX-PC | user=alex_r | pid=2185
