[2024-03-15 08:00:00] [WARN] [SECURITY] Large file transfer detected: client_database_master.mdb (512 KB) to USB F: | host=JDOE-PC | user=john_doe | pid=1000
[2024-03-15 10:07:00] [CRIT] [SEC] Browser search for: "how to delete forensic evidence windows 10" | host=JDOE-PC | user=john_doe | pid=1067
[2024-03-15 10:08:00] [WARN] [PROC] Process started: CCleaner.exe by john_doe | host=JDOE-PC | user=john_doe | pid=1068
[2024-03-15 10:09:00] [INFO] [AUTH] User john_doe logged in from workstation JDOE-PC at 08:50:22 | host=JDOE-PC | user=john_doe | pid=1069
[2024-03-15 10:10:00] [WARN] [SECURITY] Large file transfer detected: client_database_master.mdb (512 KB) to USB F: | host=JDOE-PC | user=john_doe | pid=1070
[2024-03-15 10:11:00] [CRIT] [DLP] Confidential document Q4_2024_Strategy_CONFIDENTIAL.docx sent via email | host=JDOE-PC | user=john_doe | pid=1071
[2024-03-15 10:12:00] [WARN] [AUTH] Failed login attempt for john_doe from 192.168.1.105 | host=JDOE-PC | user=john_doe | pid=1072
[2024-03-15 10:13:00] [INFO] [FILE] File deleted: Q4_2024_Strategy_CONFIDENTIAL.docx moved to Recycle Bin | host=JDOE-PC | user=john_doe | pid=1073
[2024-03-15 10:14:00] [CRIT] [NET] Upload to mega.nz detected: 102400 bytes | host=JDOE-PC | user=john_doe | pid=1074
[2024-03-15 10:15:00] [WARN] [USB] USB device mounted: SanDisk Ultra 64GB [4C530001200115119007] on F: | host=JDOE-PC | user=john_doe | pid=1075
[2024-03-15 10:16:00] [INFO] [NET] SMTP connection to external: recruiter@competitor.com with attachment 45632 bytes | host=JDOE-PC | user=john_doe | pid=1076
[2024-03-15 10:17:00] [CRIT] [SEC] Browser search for: "how to delete forensic evidence windows 10" | host=JDOE-PC | user=john_doe | pid=1077
[2024-03-15 10:18:00] [WARN] [PROC] Process started: CCleaner.exe by john_doe | host=JDOE-PC | user=john_doe | pid=1078
[2024-03-15 10:19:00] [INFO] [AUTH] User john_doe logged in from workstation JDOE-PC at 08:50:22 | host=JDOE-PC | user=john_doe | pid=1079
[2024-03-15 10:20:00] [WARN] [SECURITY] Large file transfer detected: client_database_master.mdb (512 KB) to USB F: | host=JDOE-PC | user=john_doe | pid=1080
[2024-03-15 10:21:00] [CRIT] [DLP] Confidential document Q4_2024_Strategy_CONFIDENTIAL.docx sent via email | host=JDOE-PC | user=john_doe | pid=1081
[2024-03-15 10:22:00] [WARN] [AUTH] Failed login attempt for john_doe from 192.168.1.105 | host=JDOE-PC | user=john_doe | pid=1082
[2024-03-15 10:23:00] [INFO] [FILE] File deleted: Q4_2024_Strategy_CONFIDENTIAL.docx moved to Recycle Bin | host=JDOE-PC | user=john_doe | pid=1083
[2024-03-15 10:24:00] [CRIT] [NET] Upload to mega.nz detected: 102400 bytes | host=JDOE-PC | user=john_doe | pid=1084
[2024-03-15 10:25:00] [WARN] [USB] USB device mounted: SanDisk Ultra 64GB [4C530001200115119007] on F: | host=JDOE-PC | user=john_doe | pid=1085
[2024-03-15 10:26:00] [INFO] [NET] SMTP connection to external: recruiter@competitor.com with attachment 45632 bytes | host=JDOE-PC | user=john_doe | pid=1086
[2024-03-15 10:27:00] [CRIT] [SEC] Browser search for: "how to delete forensic evidence windows 10" | host=JDOE-PC | user=john_doe | pid=1087
[2024-03-15 10:28:00] [WARN] [PROC] Process started: CCleaner.exe by john_doe | host=JDOE-PC | user=john_doe | pid=1088
[2024-03-15 10:29:00] [INFO] [AUTH] User john_doe logged in from workstation JDOE-PC at 08:50:22 | host=JDOE-PC | user=john_doe | pid=1089
[2024-03-15 11:30:00] [WARN] [SECURITY] Large file transfer detected: client_database_master.mdb (512 KB) to USB F: | host=JDOE-PC | user=john_doe | pid=1090
[2024-03-15 11:31:00] [CRIT] [DLP] Confidential document Q4_2024_Strategy_CONFIDENTIAL.docx sent via email | host=JDOE-PC | user=john_doe | pid=1091
[2024-03-15 11:32:00] [WARN] [AUTH] Failed login attempt for john_doe from 192.168.1.105 | host=JDOE-PC | user=john_doe | pid=1092
[2024-03-15 11:33:00] [INFO] [FILE] File deleted: Q4_2024_Strategy_CONFIDENTIAL.docx moved to Recycle Bin | host=JDOE-PC | user=john_doe | pid=1093
[2024-03-15 11:34:00] [CRIT] [NET] Upload to mega.nz detected: 102400 bytes | host=JDOE-PC | user=john_doe | pid=1094
[2024-03-15 11:35:00] [WARN] [USB] USB device mounted: SanDisk Ultra 64GB [4C530001200115119007] on F: | host=JDOE-PC | user=john_doe | pid=1095
[2024-03-15 11:36:00] [INFO] [NET] SMTP connection to external: recruiter@competitor.com with attachment 45632 bytes | host=JDOE-PC | user=john_doe | pid=1096
[2024-03-15 11:37:00] [CRIT] [SEC] Browser search for: "how to delete forensic evidence windows 10" | host=JDOE-PC | user=john_doe | pid=1097
[2024-03-15 11:38:00] [WARN] [PROC] Process started: CCleaner.exe by john_doe | host=JDOE-PC | user=john_doe | pid=1098
[2024-03-15 11:39:00] [INFO] [AUTH] User john_doe logged in from workstation JDOE-PC at 08:50:22 | host=JDOE-PC | user=john_doe | pid=1099
[2024-03-15 11:40:00] [WARN] [SECURITY] Large file transfer detected: client_database_master.mdb (512 KB) to USB F: | host=JDOE-PC | user=john_doe | pid=1100
[2024-03-15 11:41:00] [CRIT] [DLP] Confidential document Q4_2024_Strategy_CONFIDENTIAL.docx sent via email | host=JDOE-PC | user=john_doe | pid=1101
[2024-03-15 11:42:00] [WARN] [AUTH] Failed login attempt for john_doe from 192.168.1.105 | host=JDOE-PC | user=john_doe | pid=1102
[2024-03-15 11:43:00] [INFO] [FILE] File deleted: Q4_2024_Strategy_CONFIDENTIAL.docx moved to Recycle Bin | host=JDOE-PC | user=john_doe | pid=1103
[2024-03-15 11:44:00] [CRIT] [NET] Upload to mega.nz detected: 102400 bytes | host=JDOE-PC | user=john_doe | pid=1104
[2024-03-15 11:45:00] [WARN] [USB] USB device mounted: SanDisk Ultra 64GB [4C530001200115119007] on F: | host=JDOE-PC | user=john_doe | pid=1105
[2024-03-15 11:46:00] [INFO] [NET] SMTP connection to external: recruiter@competitor.com with attachment 45632 bytes | host=JDOE-PC | user=john_doe | pid=1106
[2024-03-15 11:47:00] [CRIT] [SEC] Browser search for: "how to delete forensic evidence windows 10" | host=JDOE-PC | user=john_doe | pid=1107
[2024-03-15 11:48:00] [WARN] [PROC] Process started: CCleaner.exe by john_doe | host=JDOE-PC | user=john_doe | pid=1108
[2024-03-15 11:49:00] [INFO] [AUTH] User john_doe logged in from workstation JDOE-PC at 08:50:22 | host=JDOE-PC | user=john_doe | pid=1109
[2024-03-15 11:50:00] [WARN] [SECURITY] Large file transfer detected: client_database_master.mdb (512 KB) to USB F: | host=JDOE-PC | user=john_doe | pid=1110
[2024-03-15 11:51:00] [CRIT] [DLP] Confidential document Q4_2024_Strategy_CONFIDENTIAL.docx sent via email | host=JDOE-PC | user=john_doe | pid=1111
[2024-03-15 11:52:00] [WARN] [AUTH] Failed login attempt for john_doe from 192.168.1.105 | host=JDOE-PC | user=john_doe | pid=1112
[2024-03-15 11:53:00] [INFO] [FILE] File deleted: Q4_2024_Strategy_CONFIDENTIAL.docx moved to Recycle Bin | host=JDOE-PC | user=john_doe | pid=1113
[2024-03-15 11:54:00] [CRIT] [NET] Upload to mega.nz detected: 102400 bytes | host=JDOE-PC | user=john_doe | pid=1114
[2024-03-15 11:55:00] [WARN] [USB] USB device mounted: SanDisk Ultra 64GB [4C530001200115119007] on F: | host=JDOE-PC | user=john_doe | pid=1115
[2024-03-15 11:56:00] [INFO] [NET] SMTP connection to external: recruiter@competitor.com with attachment 45632 bytes | host=JDOE-PC | user=john_doe | pid=1116
[2024-03-15 11:57:00] [CRIT] [SEC] Browser search for: "how to delete forensic evidence windows 10" | host=JDOE-PC | user=john_doe | pid=1117
[2024-03-15 11:58:00] [WARN] [PROC] Process started: CCleaner.exe by john_doe | host=JDOE-PC | user=john_doe | pid=1118
[2024-03-15 11:59:00] [INFO] [AUTH] User john_doe logged in from workstation JDOE-PC at 08:50:22 | host=JDOE-PC | user=john_doe | pid=1119
[2024-03-15 12:00:00] [WARN] [SECURITY] Large file transfer detected: client_database_master.mdb (512 KB) to USB F: | host=JDOE-PC | user=john_doe | pid=1120
[2024-03-15 12:01:00] [CRIT] [DLP] Confidential document Q4_2024_Strategy_CONFIDENTIAL.docx sent via email | host=JDOE-PC | user=john_doe | pid=1121
[2024-03-15 12:02:00] [WARN] [AUTH] Failed login attempt for john_doe from 192.168.1.105 | host=JDOE-PC | user=john_doe | pid=1122
[2024-03-15 12:03:00] [INFO] [FILE] File deleted: Q4_2024_Strategy_CONFIDENTIAL.docx moved to Recycle Bin | host=JDOE-PC | user=john_doe | pid=1123
[2024-03-15 12:04:00] [CRIT] [NET] Upload to mega.nz detected: 102400 bytes | host=JDOE-PC | user=john_doe | pid=1124
[2024-03-15 12:05:00] [WARN] [USB] USB device mounted: SanDisk Ultra 64GB [4C530001200115119007] on F: | host=JDOE-PC | user=john_doe | pid=1125
[2024-03-15 12:06:00] [INFO] [NET] SMTP connection to external: recruiter@competitor.com with attachment 45632 bytes | host=JDOE-PC | user=john_doe | pid=1126
[2024-03-15 12:07:00] [CRIT] [SEC] Browser search for: "how to delete forensic evidence windows 10" | host=JDOE-PC | user=john_doe | pid=1127
[2024-03-15 12:08:00] [WARN] [PROC] Process started: CCleaner.exe by john_doe | host=JDOE-PC | user=john_doe | pid=1128
[2024-03-15 12:09:00] [INFO] [AUTH] User john_doe logged in from workstation JDOE-PC at 08:50:22 | host=JDOE-PC | user=john_doe | pid=1129
[2024-03-15 12:10:00] [WARN] [SECURITY] Large file transfer detected: client_database_master.mdb (512 KB) to USB F: | host=JDOE-PC | user=john_doe | pid=1130
[2024-03-15 12:11:00] [CRIT] [DLP] Confidential document Q4_2024_Strategy_CONFIDENTIAL.docx sent via email | host=JDOE-PC | user=john_doe | pid=1131
[2024-03-15 12:12:00] [WARN] [AUTH] Failed login attempt for john_doe from 192.168.1.105 | host=JDOE-PC | user=john_doe | pid=1132
[2024-03-15 12:13:00] [INFO] [FILE] File deleted: Q4_2024_Strategy_CONFIDENTIAL.docx moved to Recycle Bin | host=JDOE-PC | user=john_doe | pid=1133
[2024-03-15 12:14:00] [CRIT] [NET] Upload to mega.nz detected: 102400 bytes | host=JDOE-PC | user=john_doe | pid=1134
[2024-03-15 12:15:00] [WARN] [USB] USB device mounted: SanDisk Ultra 64GB [4C530001200115119007] on F: | host=JDOE-PC | user=john_doe | pid=1135
[2024-03-15 12:16:00] [INFO] [NET] SMTP connection to external: recruiter@competitor.com with attachment 45632 bytes | host=JDOE-PC | user=john_doe | pid=1136
[2024-03-15 12:17:00] [CRIT] [SEC] Browser search for: "how to delete forensic evidence windows 10" | host=JDOE-PC | user=john_doe | pid=1137
[2024-03-15 12:18:00] [WARN] [PROC] Process started: CCleaner.exe by john_doe | host=JDOE-PC | user=john_doe | pid=1138
[2024-03-15 12:19:00] [INFO] [AUTH] User john_doe logged in from workstation JDOE-PC at 08:50:22 | host=JDOE-PC | user=john_doe | pid=1139
[2024-03-15 12:20:00] [WARN] [SECURITY] Large file transfer detected: client_database_master.mdb (512 KB) to USB F: | host=JDOE-PC | user=john_doe | pid=1140
[2024-03-15 12:21:00] [CRIT] [DLP] Confidential document Q4_2024_Strategy_CONFIDENTIAL.docx sent via email | host=JDOE-PC | user=john_doe | pid=1141
[2024-03-15 12:22:00] [WARN] [AUTH] Failed login attempt for john_doe from 192.168.1.105 | host=JDOE-PC | user=john_doe | pid=1142
[2024-03-15 12:23:00] [INFO] [FILE] File deleted: Q4_2024_Strategy_CONFIDENTIAL.docx moved to Recycle Bin | host=JDOE-PC | user=john_doe | pid=1143
[2024-03-15 12:24:00] [CRIT] [NET] Upload to mega.nz detected: 102400 bytes | host=JDOE-PC | user=john_doe | pid=1144
[2024-03-15 12:25:00] [WARN] [USB] USB device mounted: SanDisk Ultra 64GB [4C530001200115119007] on F: | host=JDOE-PC | user=john_doe | pid=1145
[2024-03-15 12:26:00] [INFO] [NET] SMTP connection to external: recruiter@competitor.com with attachment 45632 bytes | host=JDOE-PC | user=john_doe | pid=1146
[2024-03-15 12:27:00] [CRIT] [SEC] Browser search for: "how to delete forensic evidence windows 10" | host=JDOE-PC | user=john_doe | pid=1147
[2024-03-15 12:28:00] [WARN] [PROC] Process started: CCleaner.exe by john_doe | host=JDOE-PC | user=john_doe | pid=1148
[2024-03-15 12:29:00] [INFO] [AUTH] User john_doe logged in from workstation JDOE-PC at 08:50:22 | host=JDOE-PC | user=john_doe | pid=1149
[2024-03-15 13:30:00] [WARN] [SECURITY] Large file transfer detected: client_database_master.mdb (512 KB) to USB F: | host=JDOE-PC | user=john_doe | pid=1150
[2024-03-15 13:31:00] [CRIT] [DLP] Confidential document Q4_2024_Strategy_CONFIDENTIAL.docx sent via email | host=JDOE-PC | user=john_doe | pid=1151
[2024-03-15 13:32:00] [WARN] [AUTH] Failed login attempt for john_doe from 192.168.1.105 | host=JDOE-PC | user=john_doe | pid=1152
[2024-03-15 13:33:00] [INFO] [FILE] File deleted: Q4_2024_Strategy_CONFIDENTIAL.docx moved to Recycle Bin | host=JDOE-PC | user=john_doe | pid=1153
[2024-03-15 13:34:00] [CRIT] [NET] Upload to mega.nz detected: 102400 bytes | host=JDOE-PC | user=john_doe | pid=1154
[2024-03-15 13:35:00] [WARN] [USB] USB device mounted: SanDisk Ultra 64GB [4C530001200115119007] on F: | host=JDOE-PC | user=john_doe | pid=1155
[2024-03-15 13:36:00] [INFO] [NET] SMTP connection to external: recruiter@competitor.com with attachment 45632 bytes | host=JDOE-PC | user=john_doe | pid=1156
[2024-03-15 13:37:00] [CRIT] [SEC] Browser search for: "how to delete forensic evidence windows 10" | host=JDOE-PC | user=john_doe | pid=1157
[2024-03-15 13:38:00] [WARN] [PROC] Process started: CCleaner.exe by john_doe | host=JDOE-PC | user=john_doe | pid=1158
[2024-03-15 13:39:00] [INFO] [AUTH] User john_doe logged in from workstation JDOE-PC at 08:50:22 | host=JDOE-PC | user=john_doe | pid=1159
[2024-03-15 13:40:00] [WARN] [SECURITY] Large file transfer detected: client_database_master.mdb (512 KB) to USB F: | host=JDOE-PC | user=john_doe | pid=1160
[2024-03-15 13:41:00] [CRIT] [DLP] Confidential document Q4_2024_Strategy_CONFIDENTIAL.docx sent via email | host=JDOE-PC | user=john_doe | pid=1161
[2024-03-15 13:42:00] [WARN] [AUTH] Failed login attempt for john_doe from 192.168.1.105 | host=JDOE-PC | user=john_doe | pid=1162
[2024-03-15 13:43:00] [INFO] [FILE] File deleted: Q4_2024_Strategy_CONFIDENTIAL.docx moved to Recycle Bin | host=JDOE-PC | user=john_doe | pid=1163
[2024-03-15 13:44:00] [CRIT] [NET] Upload to mega.nz detected: 102400 bytes | host=JDOE-PC | user=john_doe | pid=1164
[2024-03-15 13:45:00] [WARN] [USB] USB device mounted: SanDisk Ultra 64GB [4C530001200115119007] on F: | host=JDOE-PC | user=john_doe | pid=1165
[2024-03-15 13:46:00] [INFO] [NET] SMTP connection to external: recruiter@competitor.com with attachment 45632 bytes | host=JDOE-PC | user=john_doe | pid=1166
[2024-03-15 13:47:00] [CRIT] [SEC] Browser search for: "how to delete forensic evidence windows 10" | host=JDOE-PC | user=john_doe | pid=1167
[2024-03-15 13:48:00] [WARN] [PROC] Process started: CCleaner.exe by john_doe | host=JDOE-PC | user=john_doe | pid=1168
[2024-03-15 13:49:00] [INFO] [AUTH] User john_doe logged in from workstation JDOE-PC at 08:50:22 | host=JDOE-PC | user=john_doe | pid=1169
[2024-03-15 13:50:00] [WARN] [SECURITY] Large file transfer detected: client_database_master.mdb (512 KB) to USB F: | host=JDOE-PC | user=john_doe | pid=1170
[2024-03-15 13:51:00] [CRIT] [DLP] Confidential document Q4_2024_Strategy_CONFIDENTIAL.docx sent via email | host=JDOE-PC | user=john_doe | pid=1171
[2024-03-15 13:52:00] [WARN] [AUTH] Failed login attempt for john_doe from 192.168.1.105 | host=JDOE-PC | user=john_doe | pid=1172
[2024-03-15 13:53:00] [INFO] [FILE] File deleted: Q4_2024_Strategy_CONFIDENTIAL.docx moved to Recycle Bin | host=JDOE-PC | user=john_doe | pid=1173
[2024-03-15 13:54:00] [CRIT] [NET] Upload to mega.nz detected: 102400 bytes | host=JDOE-PC | user=john_doe | pid=1174
[2024-03-15 13:55:00] [WARN] [USB] USB device mounted: SanDisk Ultra 64GB [4C530001200115119007] on F: | host=JDOE-PC | user=john_doe | pid=1175
[2024-03-15 13:56:00] [INFO] [NET] SMTP connection to external: recruiter@competitor.com with attachment 45632 bytes | host=JDOE-PC | user=john_doe | pid=1176
[2024-03-15 13:57:00] [CRIT] [SEC] Browser search for: "how to delete forensic evidence windows 10" | host=JDOE-PC | user=john_doe | pid=1177
[2024-03-15 13:58:00] [WARN] [PROC] Process started: CCleaner.exe by john_doe | host=JDOE-PC | user=john_doe | pid=1178
[2024-03-15 13:59:00] [INFO] [AUTH] User john_doe logged in from workstation JDOE-PC at 08:50:22 | host=JDOE-PC | user=john_doe | pid=1179
[2024-03-15 14:00:00] [WARN] [SECURITY] Large file transfer detected: client_database_master.mdb (512 KB) to USB F: | host=JDOE-PC | user=john_doe | pid=1180
[2024-03-15 14:01:00] [CRIT] [DLP] Confidential document Q4_2024_Strategy_CONFIDENTIAL.docx sent via email | host=JDOE-PC | user=john_doe | pid=1181
[2024-03-15 14:02:00] [WARN] [AUTH] Failed login attempt for john_doe from 192.168.1.105 | host=JDOE-PC | user=john_doe | pid=1182
